24496	26008	81718	
36224	43979	99757	
45101	73872	84234	
31719	41471	94542	
38380	15475	71454	
34199	1545	33848	
26659	80901	97267	
89136	55767	24169	
65230	51987	34190	
99771	50249	106782	
4960	65496	37017	
64147	40453	28299	
27249	33962	27181	
48902	79423	97477	
59321	26031	33718	
85810	3961	48360	
5747	90441	65347	
78870	8654	19797	
21821	33091	6239	
38352	12663	97007	
42410	92566	18504	
35522	35033	12652	
31091	28252	1749	
14233	79909	66573	
58385	30898	89694	
104048	24243	85028	
15130	60002	85151	
24650	68539	97361	
45665	68463	25509	
94815	101815	24061	
45766	88262	99577	
16564	31935	99509	
33366	58262	15507	
73400	35404	79759	
27195	107319	77331	
96689	87235	41621	
10103	814	14133	
98184	72769	61695	
68320	8280	98017	
74929	59348	100720	
24985	4799	3837	
22418	21897	104954	
104282	100711	93298	
7974	72985	19956	
57609	83710	77136	
5320	37131	23224	
22026	88322	101735	
85074	1405	50527	
12685	68604	548	
42577	57313	84799	
95182	53979	85835	
91819	84370	32440	
894	97918	109564	
39100	91363	47280	
24841	3586	48193	
50972	93611	53925	
88539	43113	7369	
106394	101911	59271	
94534	52282	71334	
98692	57373	31838	
90085	75806	96150	
34947	78815	82835	
10839	66813	67068	
35060	20954	49143	
25115	87288	32103	
43048	44647	37692	
22254	19169	56041	
2585	84243	53779	
38746	50798	90550	
7326	66690	93948	
91949	69413	18258	
43473	107617	81101	
38762	49931	66434	
73123	3832	46446	
63752	61229	8415	
66065	96311	97896	
45808	50275	89966	
14289	18727	33371	
12524	65600	83380	
26845	85231	97231	
100692	73624	24234	
34760	79675	32412	
30642	7804	71905	
30889	46262	53040	
100678	78386	50201	
1137	45459	31568	
65006	108456	75567	
39028	68814	31385	
19786	51636	74168	
31733	69561	21191	
67750	86720	45807	
7900	45463	10845	
37813	52371	29951	
40917	62998	89279	
27160	66854	56457	
8467	88530	8696	
107275	89866	39518	
49867	84920	38419	
85219	83948	64790	
90233	18683	87302	
88718	4832	16110	
28149	1320	50459	
92761	51110	47907	
20859	86202	41179	
14750	62578	92330	
107	65413	1814	
62887	19077	97659	
71984	19341	26500	
77696	69284	53537	
105854	18591	25291	
16106	49255	15175	
63197	96972	28723	
101860	85322	60546	
63273	63209	13223	
55463	38547	78652	
38102	20881	14497	
6975	87421	23979	
12205	17110	49833	
30430	21401	40026	
19532	98699	91093	
80201	72497	24839	
55052	77799	55296	
58036	33086	51061	
55293	63144	38921	
24956	1067	71227	
18304	19174	59662	
4898	19934	36538	
16526	86019	93171	
39042	101687	56693	
50685	18090	68558	
78534	65362	38983	
34990	43480	90010	
89906	88655	96697	
69593	33136	10072	
39469	23578	16927	
1900	6330	96311	
83007	34880	92352	
10740	90826	100364	
47891	54284	107378	
6624	62454	13780	
40421	19214	19734	
8539	41407	79189	
16560	67827	72893	
18878	41264	54665	
12969	102335	86215	
108111	62903	87933	
59176	21435	63307	
77678	55663	65017	
18020	26188	88990	
24476	42089	406	
14582	35105	8607	
12672	23630	8884	
11124	94827	39683	
33292	88123	72160	
49261	26225	43300	
13605	51481	79662	
39527	47874	46344	
51585	17357	9549	
81635	85328	29627	
1729	2809	90470	
92476	1261	30183	
104314	35305	32659	
78240	24073	26676	
96821	101817	3488	
80808	34771	85350	
83269	30671	13943	
32026	7603	82591	
51263	62461	88282	
94369	109744	47948	
11588	74399	84248	
67886	70960	53467	
26543	98306	12828	
9404	55945	19796	
43267	75891	4299	
23038	83633	67933	
62871	49579	54735	
33	45302	108391	
91504	106345	103728	
64498	58295	104557	
67211	45331	71026	
13402	50334	102345	
28391	63394	28641	
42365	23033	13213	
59091	10483	58599	
107518	10455	96655	
3905	105136	58380	
47269	5624	60191	
41912	68937	82417	
81891	62912	29700	
84230	78086	107015	
55368	64682	23879	
3472	88747	42582	
17271	89601	15215	
104724	42913	93094	
106882	72679	9623	
102127	108689	1749	
19511	23720	53607	
19155	51020	61459	
109844	71595	101281	
90313	12732	89664	
29047	42799	73118	
6466	42311	66465	
59390	46147	61436	
80609	19451	12054	
54820	57240	92931	
42214	106326	35344	
105269	11085	90246	
50915	46526	45289	
65404	95553	64999	
67341	87506	27853	
34399	87857	30252	
1205	59268	50071	
23201	12300	15675	
21580	51880	51045	
72735	72710	37070	
50974	27622	105824	
96019	72391	109390	
71711	60501	101949	
