60304	42583	77152	
20641	46152	39603	
62439	39663	31203	
100148	3964	96581	
105201	48267	91171	
50657	49584	99897	
42481	359	16642	
74342	50299	46551	
28617	76832	47920	
81610	21602	106736	
48127	105978	98108	
21801	52967	26001	
63891	2922	63353	
22314	63086	43875	
56795	43668	64193	
108068	17948	97237	
48767	49744	26032	
3675	4351	11264	
7847	32270	107338	
39045	77150	78417	
91471	49029	66705	
49175	30595	78119	
16123	31330	85704	
70553	12220	64694	
74057	2126	74869	
96956	62879	52070	
5331	92371	70659	
31445	68806	11041	
32769	91605	23917	
35768	52501	94823	
81312	2051	90020	
48469	64586	45279	
44698	51539	58145	
38295	31819	18420	
109554	32423	10632	
30329	36430	49458	
89873	82116	78699	
15071	25073	8987	
70808	25166	15546	
16311	19122	39817	
4558	82460	98652	
30629	54919	93683	
90158	3688	23668	
59123	56316	54548	
33424	103663	65553	
673	5856	70841	
69161	8314	75065	
91731	7736	106765	
60668	69494	79626	
41318	81535	16428	
76776	81397	61370	
42919	23107	17483	
29722	83157	16081	
105412	108261	58235	
13777	20478	106683	
35294	73116	43337	
89749	6400	103562	
70470	15116	52407	
44862	99393	10681	
87450	87664	87179	
102293	24565	77509	
104720	50076	9421	
16236	46920	4194	
13581	96119	63641	
107122	51917	69540	
49513	191	78292	
74840	63601	20697	
101988	45287	86557	
50479	85828	105858	
95648	91595	55612	
3981	56356	25694	
72489	84155	48335	
52584	66080	38185	
101665	16132	11535	
41301	95594	109950	
54319	48361	58392	
76498	102838	88503	
45742	62450	8665	
75554	8289	5524	
21406	88022	46956	
21734	32415	24886	
85459	92767	24747	
26880	70836	94867	
109702	99295	89337	
88146	106801	4653	
53850	88925	43780	
6755	63824	22470	
89688	53822	18324	
6516	89457	81343	
40422	66688	92584	
25936	43738	6447	
107831	61838	47548	
60507	103950	86007	
32420	109056	25219	
41698	108981	18785	
5349	85269	106399	
94804	52321	11702	
89108	81841	62573	
37570	56040	60290	
68178	81908	3665	
72775	76568	23939	
89630	85097	78425	
13642	46452	90744	
92103	79669	64228	
84628	45097	29781	
22984	27668	109376	
90944	74268	37623	
75369	6440	66073	
58485	104859	46438	
28236	9648	41103	
22355	60118	65036	
93760	49731	4460	
48169	67208	57582	
39199	43097	29930	
99852	23398	63458	
22526	9581	97159	
10369	29846	66498	
16932	27481	41792	
61515	98994	89175	
86868	105566	34325	
50787	15357	100720	
12504	56837	82388	
42932	50249	100897	
105528	70509	88512	
57633	26714	71634	
29695	69374	23845	
15405	2565	81083	
19595	90671	30845	
4526	44858	356	
75588	61531	15709	
43742	53176	52190	
102735	10353	64171	
91077	46618	298	
59479	71352	104221	
6989	67883	79862	
33677	10809	55956	
96045	100418	53498	
20087	26678	107186	
85995	33850	50778	
8091	64566	103506	
100629	14826	29930	
30327	81126	79417	
104968	95460	14623	
22420	17530	55707	
1520	54908	44559	
60358	73530	82453	
79175	108215	52194	
95034	11048	15936	
42309	95921	72651	
53663	60338	74888	
91030	9569	54329	
86862	99047	7304	
54862	58415	101593	
76375	84969	17879	
35158	89018	12029	
81624	29834	105426	
26707	87927	81855	
101678	14210	45984	
91418	6949	31117	
37114	93538	62240	
